ball,score,commentary
31.4,1,"Hazlewood to Sharma, 1 run, and gets off strike with a tickle to fine leg"
31.3,6,"Hazlewood to Sharma, SIX runs, what a way to bring up the hundred partnership. Just leans into an on-drive and it sails away over long-on for six. Smashing Hazlewood hasn't been easy but it looks no trouble for Rohit"
31.2,1,"Hazlewood to Kohli, 1 run, thick inside edge onto the pad, they scurry through for one"
31.1,1,"Hazlewood to Sharma, 1 run, smeared to square leg without any real timing on it. Lands well short of the fielder, though"
30.6,0,"Agar to Kohli, no run, and again. Tidy end to the over"
30.5,0,"Agar to Kohli, no run, good delivery, pushes Kohli back, who defends on the leg side"
30.4,2,"Agar to Kohli, 2 runs, smartly dabbed down to short third, who has a chase. The runs flowing comfortably now, and this is getting out of Australia's hands"
30.3,1,"Agar to Sharma, 1 run, driven down to long-on"
30.2,1,"Agar to Kohli, 1 run, lofts it over extra cover with the turn. Not perfectly timed, but gets the single"
30.1,1,"Agar to Sharma, 1 run, single to long-off"
29.6,0,"Hazlewood to Kohli, no run, length, driven towards point, and Steven Smith dives away to save a potential boundary"
29.5,1,"Hazlewood to Sharma, 1 run, short, and he whips this towards deep square leg"
29.4,1,"Hazlewood to Kohli, 1 run, length, a bit of width, and he goes hard through covers. There's a sweeper in the deep, though"
29.3,0,"Hazlewood to Kohli, no run, back of a length, nips in, and he runs it towards point"
29.2,1,"Hazlewood to Sharma, 1 run, runs a short ball towards third man, and that's his century! Eighth against Australia, and his love affair with the Chinnaswamy continues too"
29.1,2,"Hazlewood to Sharma, 2 runs, length ball, and he swings this towards mid-wicket. Just clears the man in the in-field!"
28.6,1,"Agar to Sharma, 1 run, fuller, around middle, and driven towards the sweeper at extra cover"
28.5,0,"Agar to Sharma, no run, fuller, around off, and he drives this back towards the bowler. Slower through the air as well"
28.4,0,"Agar to Sharma, no run, length ball, driven towards point"
28.3,0,"Agar to Sharma, no run, length, and he presses forward to drive. Off the top part of the blade, but keeps low enough to not carry"
28.2,2,"Agar to Sharma, 2 runs, length, down the leg side, and he uses the pace on the ball to guide this wide of deep square leg"
28.1,1,"Agar to Kohli, 1 run, fuller, around middle and leg, and he smashes this with a roll of the wrists towards long-on"
27.6,1,"Finch to Kohli, 1 run, length, driven towards long-on"
27.5,1,"Finch to Sharma, 1 run, full, and he drives this towards long-off"
27.4,0,"Finch to Sharma, no run, length, and he presses forward to defend towards point"
27.3,6,"Finch to Sharma, SIX runs, short ball, and he has gone towards the mid-wicket fence again. More elevation, but similar distance. DO NOT SERVE UP SHORT BALLS TO ROHIT AT CHINNASWAMY!"
27.2,0,"Finch to Sharma, no run, fuller, and he presses forward to defend. Pitched around middle and leg"
27.1,1,"Finch to Kohli, 1 run, fuller, on the pads, and he whips this away towards short fine leg"
26.6,0,"Agar to Sharma, no run, fuller ball, and he gets down to play the lap sweep. Struck on the pads, but perhaps going down leg"
26.5,1,"Agar to Kohli, 1 run, fuller, on middle and leg, and driven with the turn towards long-off"
26.4,1,"Agar to Sharma, 1 run, skips down the wicket, and Agar throws it wider. Off the inner part of the bat, as he ends up thrashing this towards long-on"
26.3,0,"Agar to Sharma, no run, fired in quicker, a bit flatter as well, and Rohit defends towards short mid-wicket"
26.2,0,"Agar to Sharma, no run, wide of the crease, fuller ball on leg stump, and he drives to short mid-wicket"
26.1,1,"Agar to Kohli, 1 run, fuller ball, and smacked back at him. Off his fingers, towards mid-wicket. He seems in a bit of pain, but that's his non-bowling arm"
25.6,0,"Zampa to Sharma, no run, slower, just around off stump, and he drives back towards the bowler. Bowled at 86.7kph"
25.5,0,"Zampa to Sharma, no run, tossed up around off, and he drives this back towards the bowler"
25.4,6,"Zampa to Sharma, SIX runs, short, and he has taken full toll of this. May have slipped out of Zampa's grasp as he looked for the flipper, but it sat up nicely. Rohit deposits this deep over mid-wicket"
25.3,0,"Zampa to Sharma, no run, length, outside off, and he defends towards point"
25.2,1,"Zampa to Kohli, 1 run, length, and he goes back to shorten this, plays it against the turn with a push down towards long-on"
25.1,0,"Zampa to Kohli, no run, length, around off, and he pushes this to cover"
24.6,1,"Starc to Kohli, 1 run, short, and he runs it down to third man"
24.5,0,"Starc to Kohli, no run, short, zips back in across from outside off, and he plays it towards point again. Wants a single, but turned down very quickly by Sharma"
24.4,0,"Starc to Kohli, no run, waft at one outside off. Width on offer again, and he fails to make contact with this"
24.3,0,"Starc to Kohli, no run, short, just around off stump, and he hops to negotiate the extra bounce. Goes to point"
24.2,1,"Starc to Sharma, 1 run, width again, good length, and he throws his bat it. Smith dives away to his left and saves three for his team!"
24.1,4,"Starc to Sharma, FOUR runs, wide, and he stretches and uses that width to guide this between point and third man. Great timing on that!"
23.6,0,"Zampa to Kohli, no run, wrong 'un, and he stretches forward to flick this away. Hits him on the pad. Zampa appeals, but knows this was sliding down leg with the angle. Good ball, nonetheless!"
23.5,1,"Zampa to Sharma, 1 run, length, and he stretches forward to punch this towards long-off"
23.4,0,"Zampa to Sharma, no run, fuller, drives this back to the bowler"
23.3,1,"Zampa to Kohli, 1 run, a little shorter, and he goes back and whips this towards mid-wicket"
23.2,1,"Zampa to Sharma, 1 run, full, and drives with the turn towards long-off"
23.1,1,"Zampa to Kohli, 1 run, fuller, around off, and he drives this firmly, along the ground, to long-off"
22.6,0,"Starc to Sharma, no run, fuller, towards the leg stump, and he checks an intended on-drive. Just short of mid-on"
22.5,1,"Starc to Kohli, 1 run, fuller, but down the pads, and he whips this towards long leg"
22.4,0,"Starc to Kohli, no run, fuller, angles back in, and he drives this back hard towards Starc. Does well to field this in his follow-through"
22.3,4,"Starc to Kohli, FOUR runs, length, width, and Kohli just leans into it, and puts this away past cover. Fine shot!"
22.2,1,"Starc to Sharma, 1 run, length, a touch of width, and he drives this hard towards deep backward point"
22.1,0,"Starc to Sharma, no run, length, angles it in, and he defends this back towards the bowler"
21.6,1,"Zampa to Sharma, 1 run, fuller, and he whips this towards deep backward square leg"
21.5,1,"Zampa to Kohli, 1 run, flighted around middle, and he flicks this towards long-on"
21.4,1,"Zampa to Sharma, 1 run, flighted, and he drives this towards long-off"
21.3,1,"Zampa to Kohli, 1 run, slider, goes on with the angle towards leg stump, and he whips it off his pads towards square leg"
21.2,0,"Zampa to Kohli, no run, flighted, around middle, and he drives this firmly back to the bowler"
21.1,1,"Zampa to Sharma, 1 run, fuller ball, and he drives this against the turn towards long-on"
20.6,0,"Labuschagne to Kohli, no run, short, and he goes inside out with a drive. Banged straight to Warner at that position"
20.5,1,"Labuschagne to Sharma, 1 run, quick single pinched with a little flick towards mid-wicket"
20.4,6,"Labuschagne to Sharma, SIX runs, short, and that's out of here! The Labuschagne experiment is not working all that well. Too short, and he rocks back and sends that about 12 rows deep into the middle tier over mid-wicket"
20.3,1,"Labuschagne to Kohli, 1 run, short, and he goes back and thrashes this towards deep point"
20.2,2,"Labuschagne to Kohli, 2 runs, tossed up, around leg stump, and he squeezes this with a flick of the wrists between deep backward square leg and mid-wicket. Picks two"
20.1,1,"Labuschagne to Sharma, 1 run, dropped short, and he goes back and thrashes this towards deep mid-wicket. There's a man in the deep for that shot"
19.6,1,"Zampa to Sharma, 1 run, another easy single to wide long-off, and for the next 10 overs, here's Debayan. Play nicely, people!"
19.5,1,"Zampa to Kohli, 1 run, gets off strike to long-off"
19.4,0,"Zampa to Kohli, no run, that nearly shaved the outside edge. Kohli beaten with the turn, gives the pitch a look of admiration"
19.3,1,"Zampa to Sharma, 1 run, smeared to deep cover"
19.2,0,"Zampa to Sharma, no run, almost yorked him, comes straight back to Zampa"
19.1,1,"Zampa to Kohli, 1 run, driven to long-off"
18.6,0,"Agar to Sharma, no run, just that two off this over. The run rate drops below 5 for the first time"
18.5,2,"Agar to Sharma, 2 runs, full, and Rohit slices it down to point, and calls for a couple straightaway. They come back with ease. Another tight over, though"
18.4,0,"Agar to Sharma, no run, blocked"
18.3,0,"Agar to Sharma, no run, wicket-to-wicket, defended"
18.2,0,"Agar to Sharma, no run, got a bit of grip and turn. It was in the air for a moment, but away from any fielders"
18.1,0,"Agar to Sharma, no run, flighted down leg side, Rohit drives it to the fielder"
17.6,0,"Zampa to Kohli, no run, angled to short third man, can't beat him either side, though. Kohli looks mildly miffed by that"
17.5,0,"Zampa to Kohli, no run, no spin there, goes straight back to Zampa"
17.4,1,"Zampa to Sharma, 1 run, low full toss, sweetly driven to wide long-off"
17.3,0,"Zampa to Sharma, no run, dead-batted"
17.2,0,"Zampa to Sharma, no run, tried to run this past short third man"
17.1,1,"Zampa to Kohli, 1 run, pushes back and punches it through cover"
16.6,0,"Agar to Sharma, no run, driven back to Agar. Four off the over, and we have drinks!"
16.5,0,"Agar to Sharma, no run, blocked"
16.4,4,"Agar to Sharma, FOUR runs, gets the boundary! Poor delivery, dropped it short and flat, and Rohit just needed to open the face of the bat and help himself to four"
16.3,0,"Agar to Sharma, no run, can't get this away, good start from Agar"
16.2,0,"Agar to Sharma, no run, thick outside edge, sharp work from the backward point fielder stops it from running away"
16.1,0,"Agar to Sharma, no run, defended to backward point"
15.6,0,"Zampa to Kohli, no run, driven straight back to Zampa"
15.5,1,"Zampa to Sharma, 1 run, flatter, works it away to cover"
15.4,1,"Zampa to Kohli, 1 run, crisply struck to long-on again"
15.3,1,"Zampa to Sharma, 1 run, slightly frenetic slog from Rohit, didn't really time it. Just out of Warner's reach."
15.2,0,"Zampa to Sharma, no run, darts it through and smacks Rohit on the pad. Enthusiastic appeal, but that's missing leg"
15.1,1,"Zampa to Kohli, 1 run, starts off with one on middle and leg, driven to long-on"
14.6,1,"Agar to Kohli, 1 run, keeps the strike with a flick to the onside"
14.5,1,"Agar to Sharma, 1 run, brings up his half-century! What form he's in. The crowd erupt, but lots of work to be done still"
14.4,0,"Agar to Sharma, no run, magnificent from Warner. Puts in another dive and mid-off and stops one more"
14.3,1,"Agar to Kohli, 1 run, nice turn there, but Kohli times it sweetly and gets one to deep point"
14.2,0,"Agar to Kohli, no run, drags this wide outside off stump. Sharp work from Warner to stop the run"
14.1,0,"Agar to Kohli, no run, flight, Kohli dead-bats it"
13.6,4,"Hazlewood to Sharma, FOUR runs, lovely shot, just angled the bat to third man and what perfect timing. That boundary was needed, all the better it comes off Hazlewood from India's perspective."
13.5,0,"Hazlewood to Sharma, no run, flicked to midwicket"
13.4,0,"Hazlewood to Sharma, no run, back of a length, blocked"
13.3,0,"Hazlewood to Sharma, no run, off stump line, just short of a length. Defended. Hazlewood is giving nothing here right now"
13.2,1,"Hazlewood to Kohli, 1 run, back of a length, Kohli goes back inside his crease and turns the strike over"
13.1,1,"Hazlewood to Sharma, 1 leg bye, hits him on the pads, but this one's definitely missing leg stump"
12.6,1,"Agar to Sharma, 1 run, driven to long-off. Nice little spell for Australia just before drinks"
12.5,1,"Agar to Kohli, 1 run, gets off the mark with one to sweeper cover"
12.4,0,"Agar to Kohli, no run, well fielded. Driven to mid-off and Warner puts the dive in to save a single"
12.3,7,"Agar to Rahul, OUT, strikes him on the pads, big appeal for lbw. Umpire turns him down, but Australia review. Only question, for me, is whether it pitched in line. I suspect it didn't. No, IT DID! He's gone! Rahul has to depart"
12.2,1,"Agar to Sharma, 1 run, driven down to long-off"
12.1,1,"Agar to Rahul, 1 run, uppishly played. Wide, flighted delivery that Rahul reached for"
11.6,0,"Hazlewood to Sharma, no run, swings back in. Rohit defends. Mildly alarmed the ball was going back onto his stumps, but no need to fear. Another tidy over from Hazlewood"
11.5,0,"Hazlewood to Sharma, no run, good delivery, on a length and coming in. Fended to mid-on"
11.4,1,"Hazlewood to Rahul, 1 run, shorter delivery, pulled down to fine leg"
11.3,1,"Hazlewood to Sharma, 1 run, drifts ever so slightly down leg, Rohit helps him down to fine leg"
11.2,0,"Hazlewood to Sharma, no run, angles it back in, defended"
11.1,1,"Hazlewood to Rahul, 1 run, persists with that nagging off stump line, smart single on the off side"
10.6,1,"Agar to Rahul, 1 run, quick single, a hint of confusion but they ultimately scamper through. Tidy first over"
10.5,1,"Agar to Sharma, 1 run, worked away to square leg"
10.4,0,"Agar to Sharma, no run, pushes him back slightly, blocked"
10.3,0,"Agar to Sharma, no run, nice loop on these deliveries. Defended back to Agar"
10.2,0,"Agar to Sharma, no run, defended to cover"
10.1,1,"Agar to Rahul, 1 run, begins with aflighted delivery on leg stump, flicked on the leg side"
9.6,0,"Hazlewood to Sharma, no run, length, defended towards mid-wicket"
9.5,0,"Hazlewood to Sharma, no run, fuller ball, around middle, and he looks to flick. Stopped at short mid-wicket. Looked like a change of pace at first glance, but went at 143kph!"
9.4,0,"Hazlewood to Sharma, no run, short, angles in, and he defends this with a back-cut towards point"
9.3,0,"Hazlewood to Sharma, no run, length, just around off, and opens up Rohit. Misses the outside edge, and the off stump, by a sparrow's whisper!"
9.2,0,"Hazlewood to Sharma, no run, length, angles in, and he defends from the crease"
9.1,0,"Hazlewood to Sharma, no run, fuller length, and he drives this towards mid-on"
8.6,0,"Cummins to Rahul, no run, length, jags back in, and he defends"
8.5,4,"Cummins to Rahul, FOUR runs, uppish, but past point again! Length, but width offered, and Rahul opens the face of his bat to steer this towards third man. Races away after going past the man at point"
8.4,1,"Cummins to Sharma, 1 run, length, driven to the left of Warner at wide mid-off, and they pick up a quick single"
8.3,4,"Cummins to Sharma, FOUR runs, slower ball, around off, and he places this beautifully. Past point, and races away to the deep point fence!"
8.2,0,"Cummins to Sharma, no run, length, down the leg side, and he plays a glance. Stopped by short fine leg, diving away to his right"
8.1,4,"Cummins to Sharma, FOUR runs, short, wide, and he throws his bat it. Off the lower edge of the bat, but past Carey and runs away fine towards third man"
7.6,0,"Hazlewood to Rahul, no run, length, comes back in from outside off, and knocks him on the pads as he looks to whip it away. Perhaps a touch too high, as the Australians choose to withdraw their appeal after an initial burst of excitement"
7.5,1,"Hazlewood to Sharma, 1 run, length, around off, and he looks to cut. Off the outer edge of the bat, along the ground, towards third man"
7.4,0,"Hazlewood to Sharma, no run, well bowled! Outside off, a bit of nip away, and beats the outstretched bat as he looks to come forward and defend"
7.3,0,"Hazlewood to Sharma, no run, length, around off, and he blocks"
7.2,0,"Hazlewood to Sharma, no run, fuller, and driven towards mid-on"
7.1,0,"Hazlewood to Sharma, no run, length, away swing from outside off, and he leaves"
6.6,1,"Cummins to Sharma, 1 run, short, outside off, and he runs this down to third man"
6.5,4,"Cummins to Sharma, FOUR runs, length, but down the leg side, and he has placed this wide of short fine leg. Superb placement from Rohit Sharma!"
6.4,1,"Cummins to Rahul, 1 run, length, just wide of off, and he cuts this away. Uppish, and drops short of third man. Went really quickly, and it would have been a brave call to come forward to try for a catch!"
6.3,1,"Cummins to Sharma, 1 run, short, angles in, and he plays this towards deep square leg"
6.2,1,"Cummins to Rahul, 1 run, length, and a handsome drive with a forward press. Warner dives away to his left and keeps this down to one"
6.1,0,"Cummins to Rahul, no run, back of a length, tucks him up, and he plays towards short mid-wicket"
5.6,1,"Hazlewood to Rahul, 1 run, length, and he pushes this wide of short mid-wicket for a tip-and-run"
5.5,0,"Hazlewood to Rahul, no run, back of a length, nips in and tucks him up. Defended from the crease, and for a while, that rolls on to his feet and falls on the off side. Rahul didn't really know where that had gone"
5.4,0,"Hazlewood to Rahul, no run, back of a length, angles in, and he defends this towards square leg"
5.3,0,"Hazlewood to Rahul, no run, length, a bit of away swing, and Rahul misses out as he tries to bash it through covers"
5.2,0,"Hazlewood to Rahul, no run, full, and he drives this firmly towards mid-on"
5.1,0,"Hazlewood to Rahul, no run, length, nips away from outside off, and Rahul leaves"
4.6,6,"Cummins to Sharma, SIX runs, fuller, on the pads, and he flicks this effortlessly over deep backward square leg. Maximum!"
4.5,0,"Cummins to Sharma, no run, length, goes down leg as he shapes to flick. Off the pads, and a muted appeal from the Aussies"
4.4,0,"Cummins to Sharma, no run, length, straightens into him from around off, and he flicks this towards short mid-wicket"
4.3,0,"Cummins to Sharma, no run, edged, but drops short of Carey! Length, around off, and he looks to drive. Goes off the toe-end, and dies on Carey as he collects to his right"
4.2,1,"Cummins to Rahul, 1 run, length, down the leg side, and he whips this away towards fine leg"
4.1,0,"Cummins to Rahul, no run, length, nips in from outside off, and he leaves"
3.6,0,"Starc to Sharma, no run, length, straightens after pitching around leg. He looks to flick, and gets rapped on the pads. Australia have a think about a review, but choose not to go for it, after all"
3.5,0,"Starc to Sharma, no run, length, around off, and he drives towards cover"
3.4,6,"Starc to Sharma, SIX runs, short and wide, and he guides this over point. Wayward start from Starc, and Rohit is ensuring he makes the most of scoring opportunities. Seems to have hit the boundary skirting on the full!"
3.3,0,"Starc to Sharma, no run, length, outside off, slants across him, and he leaves"
3.2,4,"Starc to Sharma, FOUR runs, width, across him, and he lays his bat it again. Well placed, as he gets it to the left of point. Just a stand-and-deliver drive!"
3.1,1,"Starc to Rahul, 1 run, length, straightens in from middle, and he plays it with the inward movement wide of mid-on"
2.6,1,"Cummins to Rahul, 1 run, shorter length, off the inside edge and on to pad. Goes towards point and they pinch a single"
2.5,4,"Cummins to Rahul, FOUR runs, terrific drive! Presses a bit forward, transfers his weight, and eases into a cover drive to one fractionally fuller"
2.4,0,"Cummins to Rahul, no run, back of a length, shapes back in from outside off, and he defends"
2.4,5,"Cummins to Rahul, 5 wides, way down leg side, and Carey cannot collect. Big swing after pitching down leg stump, and moving further away"
2.3,0,"Cummins to Rahul, no run, length, nips back in, and he defends towards point"
2.2,0,"Cummins to Rahul, no run, short, angles in, and he defends this towards point"
2.1,0,"Cummins to Rahul, no run, short, just outside off, and he lets it pass. Bowled at a good pace, and he knows better than to fiddle with it"
1.6,4,"Starc to Sharma, FOUR runs, length, but a lot of width on offer, and Rohit lays bat on it. Places it to the right of point, and it zips through to the cover-point fence"
1.5,0,"Starc to Sharma, no run, length, and he defends towards cover"
1.4,0,"Starc to Sharma, no run, length, a bit wider, and a bit of swing back in. Rohit plays a fluent drive, but cannot get it wide of mid-off"
1.3,0,"Starc to Sharma, no run, this has straightened into him, and struck him on the pads. Rohit looks for a whip through the onside. Big appeal, but they choose not to refer this"
1.2,0,"Starc to Sharma, no run, shorter, wider, and he leaves"
1.2,1,"Starc to Sharma, 1 wide, fuller, but down the leg side"
1.1,0,"Starc to Sharma, no run, length, just outside off, and he leaves"
0.6,1,"Cummins to Sharma, 1 run, length, a bit of nip away, and he runs this off the outer part of the bat down to third man. Along the ground, so risk-free in that sense"
0.5,0,"Cummins to Sharma, no run, length, outside off, and he shoulders arms to this"
0.4,0,"Cummins to Sharma, no run, length, and he presses forward to defend one around off stump"
0.3,0,"Cummins to Sharma, no run, length, around off, and he defends this towards point"
0.2,2,"Cummins to Sharma, 2 runs, short, angles in towards the leg side, and he plays this to the left of fine leg. Two more for Rohit"
0.1,2,"Cummins to Sharma, 2 runs, length, angles in, and he plays this off his pads towards long leg. Fine leg goes across to his left"
49.6,1,"Mohammed Shami to Agar, 1 run, superb from Shami. Finishes with another yorker, and Australia can only manage to get one off the final delivery. Superb final 10 overs from India. Only 63 runs conceded, and India need 287 to win the game, and the series."
49.5,1,"Mohammed Shami to Hazlewood, 1 run, gets off the mark with a run down to mid-off"
49.4,1,"Mohammed Shami to Agar, 1 run, in the blockhole again, and they only get a single"
49.3,1,"Mohammed Shami to Hazlewood, 1 leg bye, backs away and Shami follows him. gets a leg bye and gets the strike back to Agar"
49.2,7,"Mohammed Shami to Zampa, OUT, cleans up Zampa! Shami just keeps picking up wickets. Inswinging full ball, Zampa tries to go big, it comes off his pad and smashes into leg stump"
49.1,1,"Mohammed Shami to Agar, 1 run, low full toss, helped along to deep midwicket from Agar, but no more than one"
48.6,0,"Bumrah to Zampa, no run, finds the fielder again. Just 5 from that over"
48.5,1,"Bumrah to Agar, 1 run, driven down the side for one"
48.4,1,"Bumrah to Zampa, 1 run, driven in the air to sweeper cover. Australia now up to 280"
48.3,1,"Bumrah to Agar, 1 run, gets a single through the offside"
48.2,1,"Bumrah to Zampa, 1 leg bye, dragged down legside, and Rahul fails to gather it. Lucky fine leg clears up, so it's just 1 run instead of 4"
48.1,1,"Bumrah to Agar, 1 leg bye, into the pads, and Agar comes through for a leg bye. Can Bumrah clean up this innings here and now?"
47.6,0,"Mohammed Shami to Zampa, no run, driven back. Splendid over. 3 runs and 2 wickets."
47.5,0,"Mohammed Shami to Zampa, no run, Zampa tamely drives it through the covers. Surprised Shami didn't go for the yorker again"
47.4,7,"Mohammed Shami to Cummins, OUT, and he's accounted for Cummins first ball again. Just the same way as in Rajkot. The yorker is simply too good for Cummins to get any bat on. It goes underneath and castles him first ball."
47.3,1,"Mohammed Shami to Agar, 1 run, inswinging yorker, that's the ball he needs to bowl as much of as possible. Agar can do little but run it off the face and take the single"
47.2,2,"Mohammed Shami to Agar, 2 runs, guided through the on-side field, and comes back for two. He needs to play a big part here"
47.1,7,"Mohammed Shami to Smith, OUT, Smith holes out to deep midwicket! Tried to play a similar shot to that flick that went for six a couple of overs ago and Iyer completes a brilliant catch charging in and diving forward. Big wicket, that, could lop about 20-25 runs off the score, potentially."
46.6,1,"Bumrah to Smith, 1 run, placed it around cow corner. Realised too late he could have had two. Settles for the one. Still, a dozen off that over"
46.5,1,"Bumrah to Agar, 1 leg bye, gets away with that. Dragged down leg, and Agar can only get his pad to it and come through for another leg bye"
46.4,1,"Bumrah to Smith, 1 run, opens the face and runs it down to the sweeper. 10 off four balls"
46.3,4,"Bumrah to Smith, FOUR runs, two in a row. Bumrah finally copping some punishment at Smiths hands. Another slower delivery well outside off stump. Poor delivery in truth, and Smith is too hot right now to miss out on that"
46.2,4,"Bumrah to Smith, FOUR runs, Smith wins the ball for now. Saw third man was inside the circle, and deliberately edges the ball fine of him to get the boundary. This is world-class batting against tough bowling"
46.1,1,"Bumrah to Agar, 1 leg bye, smacks Agar on the pad, and he runs through for the leg-bye. Right, Smith and Bumrah. What a contest"
45.6,2,"Saini to Smith, 2 runs, worked away to cow corner, and placed it nicely enough he was able to come back for 2. 16 off the over. Australia need at least a couple more like that"
45.5,1,"Saini to Agar, 1 run, finally nails the yorker. Agar digs it out and gets Smith back on strike for the final ball of the over"
45.4,1,"Saini to Smith, 1 run, gets a single to the offside. 13 off the first four. Can Agar support Smith here in making this a gigantic over?"
45.3,6,"Saini to Smith, SIX runs, what an absolutely nonsensical shot that is. Absolutely ridiculous. Just outside off, and SMith moves across, and simply wrists it in the air over deep square leg. Sails away for six. That was all wrist."
45.2,2,"Saini to Smith, 2 runs, runs this to the right of third man and calls 'two' straightaway. Good start from Australia, can they make this a big over?"
45.1,4,"Saini to Smith, FOUR runs, and the four finally comes! Yorker that Smith opened the face of the bat to angle past backward point. Excellent shot"
44.6,1,"Mohammed Shami to Smith, 1 run, spanks it to cow corner, but they can't manage any more than a single. 7 off the over"
44.5,1,"Mohammed Shami to Agar, 1 run, guides it down to sweeper cover. just 6 off the first five balls"
44.4,1,"Mohammed Shami to Smith, 1 run, cramps him for room, but Smith manages to whack it to mid-on"
44.3,1,"Mohammed Shami to Agar, 1 run, timed to mid-off and Agar hastily runs across; he wants to get Smith back on strike. India won't mind these crumbs whatsoever"
44.2,1,"Mohammed Shami to Smith, 1 run, driven down to long-on"
44.1,2,"Mohammed Shami to Smith, 2 runs, driven back past the bowler and a dive from Chahal prevents it from crossing the boundary"
43.6,7,"Saini to Turner, OUT, marvellous delivery to finish. Yorker just outside off stump, goes underneath the bat. India re stifling Australia here. And what's this? India have reviewed for a caught behind! The UltraEdge shows a spike when the ball touches the bat. He's gone! Smart review by Kohli; the wicket came from nowhere"
43.5,1,"Saini to Smith, 1 run, nice timing, and what's happened now?  Smith ran through for a single, and Ashton Turner wasn't even looking at him. A throw at the keeper's end would have produced a wicket"
43.4,1,"Saini to Turner, 1 run, yorker, they scurry through for one. The throw hits Smith as he lunges to get back into the crease"
43.3,1,"Saini to Smith, 1 run, there it is. Runs it down to third man and brings up his ninth ODI hundred, and third against India. It's been a commanding knock. Not much of a celebration. Knows there's more work to be done"
43.2,0,"Saini to Smith, no run, drives smartly to backward point, who collects sharply. Turner wanted the run, but Smith is taking no chances"
43.1,1,"Saini to Turner, 1 run, quick single, was desperate to get Smith back on strike. And now, hwre's Smith on 99"
42.6,1,"Bumrah to Turner, 1 run, runs it down to the deep cover fielder. Turner keeps the strike again. Smith will have to wait a while longer!"
42.5,0,"Bumrah to Turner, no run, five in a row. Almost squared him up. Can Bumrah actually bowl a maiden over here?"
42.4,0,"Bumrah to Turner, no run, back of a length, pushed to the covers. No run in this over so far"
42.3,0,"Bumrah to Turner, no run, and again. This man produces on demand. He bowls yorkers with more consistency than I make a good cup of tea. And that's a real compliment"
42.2,0,"Bumrah to Turner, no run, wonderful bowling. Perfect yorker, and all Turner can do is not let the ball go under his bat"
42.1,0,"Bumrah to Turner, no run, beaten by the ball keeping low. Thick under-edge"
41.6,1,"Kuldeep Yadav to Turner, 1 run, helped down to third man. Turner keeps the strike"
41.5,1,"Kuldeep Yadav to Smith, 1 run, drives to long-on, and moves to 99."
41.4,7,"Kuldeep Yadav to Carey, OUT, played with the turn, and the wicket finally comes!. Lofted it over cover, and looked a pretty good shot, in all fairness. But because he was reaching for it outside off stump, he never could get the purchase he needed to clear the ropes. Big wicket for Kuldeep in his final over"
41.3,1,"Kuldeep Yadav to Smith, 1 run, cut away, produces only a single"
41.2,1,"Kuldeep Yadav to Carey, 1 run, drops it short, lucky Carey only finds the sweeper with a crunch through the covers"
41.1,1,"Kuldeep Yadav to Smith, 1 run, wrong 'un, driven away to sweeper cover"
40.6,0,"Mohammed Shami to Carey, no run, slower delivery, smart bowling to close out the over. Depriving Carey of the pace he was looking to use. Well-rescued over in the end"
40.5,0,"Mohammed Shami to Carey, no run, shows Shami the stumps again. Backed away, but couldn't quite find a productive shot to go with it"
40.4,4,"Mohammed Shami to Carey, FOUR runs, clever cricket. Clears the front leg, moves away to give himself room and crunches it through the offside. Races away to the boundary"
40.3,0,"Mohammed Shami to Carey, no run, good delivery, seams back in to Carey, who simply played down the wrong line and found his inside edge beaten"
40.2,0,"Mohammed Shami to Carey, no run, tried to run it down to third man, can't quite beat the backward point fielder"
40.1,1,"Mohammed Shami to Smith, 1 run, touched away to square leg"
39.6,4,"Bumrah to Carey, FOUR runs, short, and he looks to drive this. Off the outside edge, and third man fails to reel it in. Off Saini's hands and touches the fence."
39.5,0,"Bumrah to Carey, no run, looks for the yorker, but overcooks it. Carey drives, but cannot beat mid-on"
39.4,0,"Bumrah to Carey, no run, fuller length, and he drives this towards cover"
39.3,1,"Bumrah to Smith, 1 run, length, runs it down to third man"
39.2,1,"Bumrah to Carey, 1 run, length, and he nearly plays it on to his leg stump, as he defends from the crease. It drops just to the left of the leg stump, and Smith has called him through for a quick single"
39.1,0,"Bumrah to Carey, no run, length, around off, and he steers this towards point"
38.6,0,"Saini to Smith, no run, length, around off, and he smacks this hard. Straight, on the bounce, to cover"
38.5,0,"Saini to Smith, no run, length, and he drives this hard towards cover"
38.4,1,"Saini to Carey, 1 leg bye, length, jags back in and beats the inside edge as he looks to flick. Off the pads towards third man"
38.3,1,"Saini to Smith, 1 run, runs it down towards third man"
38.2,4,"Saini to Smith, FOUR runs, length, down the legside, and Smith gets enough bat on it to run it down to fine leg"
38.1,1,"Saini to Carey, 1 run, back of a length, jabs back at him, and he plays it to point for a quick tip-and-run"
37.6,1,"Kuldeep Yadav to Carey, 1 run, loops one outside off in the air, in going for the slog sweep! Got absolutely no timing on it, and it lands limply around the mid-wicket region, with no fielder in the immediate vicinity. Lucky Carey on this occasion"
37.5,2,"Kuldeep Yadav to Carey, 2 runs, length, around off, and he sweeps this towards deep backward square leg. A fielder sweeping at the deep mid-wicket fence gets around to his left to save two for his team"
37.4,1,"Kuldeep Yadav to Smith, 1 run, length, and he skips down the wicket to hit this hard towards long-on. Bowled at 78.4kph"
